Distance_z(mm),Gray_value
50.0,0.901
51.0,2.554
52.0,2.782
53.0,1.97
54.0,1.228
55.0,0.878
56.0,0.814
57.0,0.969
58.0,1.482
59.0,2.67
60.1,4.639
61.1,6.431
62.1,5.781
63.1,2.18
64.1,2.073
65.1,12.517
66.1,18.821
67.1,3.088
68.1,39.467
69.1,293.054
70.1,953.683
71.1,136.653
72.1,29.603
73.1,4.584
74.1,10.234
75.1,2.207
76.1,3.912
77.1,2.469
78.1,1.954
79.1,2.565
80.2,1.195
81.2,2.869
82.2,0.643
83.2,3.368
84.2,0.366
85.2,3.424
86.2,1.184
87.2,2.108
88.2,3.49
89.2,0.202
90.2,4.802
91.2,1.468
92.2,1.91
93.2,5.714
94.2,0.395
95.2,3.815
96.2,6.382
97.2,0.207
98.2,4.885
99.2,8.242
100.3,0.725
101.3,4.42
102.3,11.69
103.3,3.717
104.3,1.71
105.3,14.388
106.3,13.127
107.3,0.584
108.3,9.5
109.3,27.501
110.3,17.482
111.3,0.152
112.3,23.537
113.3,63.379
114.3,49.301
115.3,2.09
116.3,61.831
117.3,330.426
118.3,719.8
119.3,1000.0
120.4,997.846
121.4,735.232
122.4,386.05
123.4,124.036
124.4,12.117
125.4,5.747
126.4,27.807
127.4,32.885
128.4,19.485
129.4,5.272
130.4,1.264
131.4,5.008
132.4,8.668
133.4,8.133
134.4,4.938
135.4,2.484
136.4,2.212
137.4,3.101
138.4,3.603
139.4,3.33
140.5,2.995
141.5,3.224
142.5,3.749
143.5,3.766
144.5,2.924
145.5,1.867
146.5,1.752
147.5,3.178
148.5,5.494
149.5,7.131
150.5,6.768
151.5,4.448
152.5,1.775
153.5,0.967
154.5,3.349
155.5,8.292
156.5,13.349
157.5,15.598
158.5,13.453
159.5,7.877
160.6,2.238
161.6,0.751
162.6,6.231
163.6,18.292
164.6,32.958
165.6,44.05
166.6,45.919
167.6,36.462
168.6,19.205
169.6,3.526
170.6,2.759
171.6,30.673
172.6,97.361
173.6,205.793
174.6,350.053
175.6,515.776
176.6,682.671
177.6,828.452
178.6,933.183
179.6,983.008
180.7,972.472
181.7,905.047
182.7,791.908
183.7,649.41
184.7,495.904
185.7,348.607
186.7,221.113
187.7,121.905
188.7,53.979
189.7,15.463
190.7,0.925
191.7,3.009
192.7,14.048
193.7,27.369
194.7,38.127
195.7,43.626
196.7,43.194
197.7,37.725
198.7,29.069
199.7,19.391
200.8,10.644
201.8,4.214
202.8,0.761
203.8,0.238
204.8,2.046
205.8,5.257
206.8,8.857
207.8,11.952
208.8,13.912
209.8,14.435
210.8,13.544
211.8,11.521
212.8,8.818
213.8,5.94
214.8,3.354
215.8,1.415
216.8,0.322
217.8,0.109
218.8,0.666
219.8,1.778
220.9,3.172
221.9,4.57
222.9,5.731
223.9,6.481
224.9,6.73
225.9,6.473
226.9,5.78
227.9,4.774
228.9,3.609
229.9,2.444
230.9,1.421
231.9,0.648
232.9,0.189
233.9,0.063
234.9,0.244
235.9,0.672
236.9,1.263
237.9,1.925
238.9,2.565
239.9,3.102
241.0,3.477
242.0,3.655
243.0,3.625
244.0,3.402
245.0,3.02
246.0,2.525
247.0,1.974
248.0,1.422
249.0,0.92
250.0,0.51
