Distance_(pixels),Gray_Value
0,31.6875
1,30.3542
2,31.4167
3,29.8333
4,31.4792
5,43.0208
6,51.2083
7,54.6458
8,53.3958
9,46.5625
10,38.8958
11,36.7708
12,39.3750
13,37.8125
14,33.3958
15,32.2917
16,34.7917
17,32.7500
18,29.5208
19,35.7083
20,41.8125
21,46.6875
22,50.6042
23,50.6667
24,50.7083
25,49.6667
26,47.3125
27,41.1875
28,39.6042
29,42.1042
30,41.8958
31,36.8125
32,33.5417
33,31.5625
34,30.8333
35,36.7292
36,44.1042
37,49.9167
38,52.0417
39,55.4375
40,57.1250
41,59.0000
42,55.9583
43,47.9792
44,46.9792
45,46.8125
46,43.3125
47,40.8542
48,41.7292
49,40.8333
50,44.1875
51,50.5417
52,53.7708
53,52.5000
54,52.2292
55,52.5208
56,55.0625
57,56.5833
58,51.2500
59,46.0208
60,47.3542
61,52.9792
62,58.0625
63,56.2083
64,49.7083
65,41.0833
66,35.1250
67,39.6042
68,47.8542
69,51.7708
70,50.1875
71,49.5833
72,49.5000
73,48.4792
74,48.4792
75,49.7083
76,54.3333
77,57.7708
78,56.7500
79,51.6875
80,45.5208
81,42.7917
82,40.6042
83,40.9167
84,41.2708
85,37.8333
86,35.9583
87,37.1250
88,40.1250
89,43.6667
90,45.8958
91,44.8125
92,46.6250
93,48.0625
94,45.7917
95,44.6458
96,43.7500
97,43.1875
98,42.6875
99,40.4792
100,41.4792
101,49.3750
102,53.2917
103,50.8750
104,44.2500
105,38.6042
106,33.1667
107,32.5625
108,34.7500
109,38.0833
110,39.5208
111,38.5625
112,37.2292
113,36.3958
114,37.5000
115,38.6250
116,39.8125
117,41.7708
118,43.5208
119,47.3542
120,51.6042
121,49.6667
122,46.3542
123,50.7083
124,58.3542
125,57.4167
126,51.0625
127,46.2500
128,40.4167
129,35.2292
130,34.6667
131,37.7292
132,38.1875
133,34.5625
134,30.3542
135,30.4375
136,34.7083
137,42.0208
138,46.0208
139,45.3333
140,43.4792
141,44.7083
142,43.5000
143,39.8333
144,36.9792
145,39.0208
146,39.2917
147,37.4375
148,39.1458
149,43.7917
150,48.4792
151,49.2083
152,49.5000
153,50.9375
154,47.0833
155,37.6667
156,31.7292
157,33.5000
158,38.4375
159,47.1875
160,51.1458
161,54.0833
162,58.1458
163,63.0417
164,67.3125
165,67.0833
166,62.0625
167,56.1042
168,50.9375
169,48.3542
170,46.6042
171,45.4167
172,47.6875
173,52.7917
174,54.1667
175,49.5625
176,45.1875
177,47.7708
178,52.3125
179,52.3333
180,48.7083
181,45.9167
182,45.7292
183,46.7500
184,46.8750
185,44.3542
186,43.3958
187,45.4375
188,44.7083
189,43.0000
190,42.6250
191,43.3333
192,43.7083
193,43.1667
194,41.8333
195,43.2083
196,41.9167
197,38.7708
198,39.8542
199,40.4583
200,40.2292
201,39.1250
202,37.0625
203,35.7083
204,34.9792
205,33.6042
206,32.6250
207,31.2292
208,29.6458
209,28.4375
210,26.6458
211,25.2917
212,24.5625
213,24.4792
214,24.4167
215,24.0208
216,22.8542
217,21.7708
218,21.9792
219,22.3958
220,22.5208
221,22.9583
222,23.4375
223,23.5208
224,24.1875
225,24.3542
226,24.6458
227,24.6042
228,24.9583
229,25.4375
230,25.7292
231,25.4375
232,24.7500
233,24.6667
234,25.2292
235,25.3333
236,25.0833
237,24.9792
238,25.4583
239,25.2292
240,24.0833
241,23.6667
242,24.1042
243,24.6042
244,24.5417
245,23.7292
246,23.8958
247,24.8125
248,25.7500
249,25.7708
250,25.6667
251,26.4792
252,27.6875
253,29.1667
254,30.4583
255,31.3333
256,32.0208
257,33.6667
258,35.5000
259,36.2083
260,35.9167
261,35.6667
262,35.9167
263,36.6042
264,37.0000
265,36.8958
266,38.1250
267,40.4583
268,41.2708
269,40.1667
270,38.8750
271,40.3542
272,42.4792
273,43.1875
274,42.5833
275,42.0208
276,43.6458
277,46.5625
278,47.4792
279,45.6875
280,44.7917
281,48.1458
282,52.3333
283,54.5417
284,52.8333
285,48.3958
286,44.8958
287,45.2083
288,48.0208
289,52.6042
290,59.0625
291,65.9167
292,70.1042
293,69.7917
294,67.5833
295,64.4167
296,62.1667
297,60.1667
298,54.4792
299,45.2917
300,35.2917
301,35.8958
302,40.5000
303,50.2083
304,55.5833
305,57.5625
306,57.1667
307,55.4375
308,52.3125
309,48.6042
310,43.4167
311,38.1667
312,34.2083
313,31.4583
314,31.7708
315,34.2292
316,37.8750
317,41.3750
318,45.0833
319,48.7500
320,50.3125
321,48.5833
322,46.0417
323,44.8958
324,45.0000
325,43.5625
326,37.4792
327,31.2292
328,32.6250
329,45.5208
330,58.9583
331,65.4167
332,66.4792
333,67.7083
334,67.5833
335,62.1458
336,54.2917
337,52.5417
338,54.6667
339,54.0000
340,50.2500
341,46.8958
342,46.1875
343,45.0417
344,46.2500
345,48.7292
346,45.9792
347,43.1458
348,42.0625
349,42.9583
350,50.8958
351,64.4583
352,68.9167
353,63.8958
354,54.6042
355,44.0000
356,35.9792
357,38.5625
358,44.5000
359,54.3542
360,58.4375
361,60.5417
362,58.2500
363,50.3542
364,47.2083
365,48.0208
366,50.9583
367,53.5625
368,46.8125
369,39.1667
370,37.5833
371,40.9583
372,42.6458
373,36.0417
374,29.3542
375,31.3542
376,37.8958
377,47.4792
378,55.2292
379,61.5417
380,62.4167
381,59.7292
382,56.5833
383,51.0833
384,38.7083
385,34.1458
386,32.0833
387,38.0208
388,43.2917
389,44.0208
390,38.6250
391,35.4167
392,36.9375
393,44.9375
394,46.9167
395,46.8542
396,45.7917
397,51.9583
398,57.2708
399,56.8958
400,60.3125
401,59.2292
402,51.8333
403,46.4792
404,47.2708
405,47.9167
406,45.1042
407,45.5833
408,48.7500
409,47.5208
410,40.7083
411,35.6667
412,31.3333
413,39.6250
414,49.0208
415,62.2917
416,66.5833
417,61.9583
418,57.2083
419,56.5625
420,49.7083
421,42.6042
422,33.3750
423,31.3125
424,30.5000
425,33.2292
426,36.6875
427,40.5417
428,39.7917
429,42.4167
430,49.1250
431,58.8542
432,59.3958
433,56.5208
434,57.4583
435,62.0833
436,59.6458
437,49.5625
438,36.2917
439,32.3333
440,30.8125
441,32.3750
442,28.9375
443,30.9583
444,34.7500
445,45.0208
446,57.2083
447,63.3333
448,65.7500
449,61.8333
450,53.7083
451,47.2500
452,43.7083
453,43.8125
454,37.7708
455,29.9792
456,26.1042
457,32.0208
458,38.1042
459,43.3125
460,45.3542
461,50.4583
462,55.7292
463,56.3750
464,59.6875
465,49.8125
466,37.0208
467,36.7708
468,40.8958
469,38.5417
470,26.9375
471,31.2708
472,37.5208
473,47.0625
474,50.1458
475,47.9583
