Distance_(pixels),Gray_Value
0,12.7083
1,12.9167
2,12.9583
3,12.4167
4,11.5417
5,11.4583
6,11.9167
7,12.6250
8,12.9167
9,13.0417
10,12.0833
11,11.2083
12,10.8750
13,11.7083
14,12.6667
15,13.7083
16,13.9167
17,13.7500
18,14.0833
19,15.2083
20,15.8333
21,15.5417
22,16.1667
23,17.1667
24,18.4167
25,20.2083
26,20.4583
27,20.2083
28,19.7083
29,20.6250
30,23.4583
31,26.0417
32,27.0000
33,26.2500
34,23.0417
35,20.9167
36,23.0833
37,26.6667
38,28.2500
39,26.6667
40,22.9583
41,20.1667
42,20.8333
43,23.8333
44,25.7500
45,26.6667
46,25.9583
47,24.0000
48,23.4583
49,26.6250
50,29.7083
51,29.8333
52,26.0417
53,22.7500
54,23.2083
55,25.3333
56,24.6250
57,23.2917
58,24.5417
59,26.6250
60,26.9167
61,28.1667
62,29.2083
63,25.5833
64,21.6667
65,25.8750
66,30.6667
67,27.6250
68,22.6667
69,24.4583
70,26.9167
71,27.6250
72,26.4583
73,24.9167
74,25.6667
75,25.4583
76,28.4583
77,30.3750
78,28.5000
79,29.1250
80,26.9167
81,27.1667
82,29.4583
83,31.9167
84,30.5000
85,25.9167
86,26.2083
87,29.0833
88,28.0833
89,28.0833
90,27.6250
91,28.2083
92,28.8333
93,26.7917
94,24.7917
95,25.8333
96,28.8333
97,26.7917
98,25.4167
99,29.2917
100,33.0417
101,30.0833
102,26.2917
103,24.6250
104,27.4583
105,36.5417
106,37.5000
107,34.2500
108,29.3333
109,24.5417
110,21.6250
111,24.0000
112,29.7083
113,34.5833
114,38.3333
115,39.0417
116,32.4583
117,27.0833
118,22.9167
119,28.1667
120,35.4167
121,42.7917
122,39.5417
123,30.8333
124,23.2083
125,23.5833
126,25.3333
127,29.2500
128,36.2083
129,36.3333
130,32.6667
131,32.1250
132,37.5417
133,39.8750
134,32.4583
135,26.2917
136,24.0000
137,34.7917
138,42.6250
139,40.0417
140,33.0833
141,28.6250
142,28.6250
143,29.3333
144,30.1667
145,34.8750
146,39.4167
147,41.5417
148,38.2500
149,32.1250
150,30.6667
151,30.5417
152,31.0417
153,33.2917
154,36.9167
155,38.0417
156,35.5000
157,32.5417
