Distance_(pixels),Gray_Value
0,34.5926
1,31.0926
2,27.5370
3,26.7037
4,28.2037
5,32.5000
6,39.5741
7,44.9630
8,47.3333
9,43.9815
10,38.3704
11,37.4444
12,39.1296
13,35.5370
14,30.8333
15,32.1111
16,35.2037
17,36.2407
18,36.7037
19,35.7593
20,36.6481
21,45.3333
22,52.4444
23,51.0926
24,44.5185
25,39.8148
26,40.1481
27,41.7593
28,42.7222
29,42.1481
30,40.0741
31,38.0556
32,36.4074
33,34.7963
34,36.8889
35,36.1111
36,34.1852
37,38.0185
38,43.9259
39,49.2222
40,50.1296
41,44.8519
42,39.4815
43,38.3148
44,37.9815
45,37.5926
46,38.4074
47,36.6667
48,30.6111
49,30.2222
50,35.5000
51,41.8704
52,46.0741
53,46.9444
54,45.9259
55,46.0185
56,47.6296
57,43.4815
58,36.5185
59,30.7593
60,30.9259
61,36.7407
62,38.9444
63,39.0556
64,37.9815
65,36.1111
66,34.0370
67,34.1296
68,34.6852
69,33.7778
70,32.4074
71,33.7037
72,35.1852
73,35.0926
74,32.7407
75,31.5556
76,36.3704
77,43.2963
78,45.7037
79,42.4444
80,38.2778
81,36.1667
82,33.9259
83,32.7222
84,33.8704
85,37.1667
86,38.5370
87,36.5926
88,32.8519
89,31.0185
90,31.3889
91,31.9815
92,31.6296
93,32.5741
94,34.0370
95,36.3148
96,41.0556
97,41.0370
98,35.8148
99,30.5556
100,29.6667
101,34.1111
102,37.2407
103,38.8519
104,38.0926
105,37.3889
106,40.5741
107,47.7963
108,52.0000
109,50.3519
110,46.3889
111,42.3704
112,40.1296
113,38.8704
114,36.0556
115,33.5741
116,35.5370
117,39.4074
118,39.4074
119,34.8333
120,30.8704
121,30.7778
122,30.5000
123,29.5185
124,29.8704
125,28.6667
126,28.5926
127,31.2963
128,33.9630
129,35.8519
130,36.4074
131,36.4259
132,37.5926
133,39.4074
134,40.8704
135,44.1296
136,48.2037
137,51.4815
138,53.3704
139,54.9630
140,56.6667
141,57.2222
142,56.1296
143,53.3519
144,48.7778
145,45.1667
146,45.4630
147,47.4074
148,49.2407
149,49.6481
150,48.0741
151,46.6667
152,45.3704
153,45.9259
154,45.0370
155,43.7407
156,41.7037
157,39.4074
158,39.7963
159,40.7963
160,41.5556
161,41.7778
162,42.5370
163,41.6481
164,40.3519
165,38.9630
166,38.2778
167,38.6111
168,38.2407
169,37.0370
170,37.1481
171,37.8148
172,36.5000
173,35.5556
174,35.6111
175,35.9074
176,36.2222
177,35.7222
178,34.4815
179,33.5370
180,32.9815
181,33.5000
182,32.8889
183,31.6481
184,31.0741
185,29.7963
186,29.1111
187,28.6296
188,28.3704
189,27.3333
190,25.2037
191,23.9815
192,22.6852
193,21.6667
194,21.4630
195,21.4444
196,21.2037
197,21.2222
198,20.8519
199,20.1111
200,19.2222
201,19.6296
202,19.7037
203,19.8889
204,19.7778
205,19.9074
206,20.7593
207,21.1852
208,21.5556
209,21.2407
210,21.3519
211,21.0370
212,20.7407
213,20.5556
214,19.9074
215,20.0185
216,20.3148
217,21.0741
218,21.1852
219,21.6111
220,21.5926
221,21.1667
222,20.7963
223,20.4444
224,20.6111
225,21.0926
226,21.1852
227,20.5185
228,20.1852
229,20.3889
230,20.4259
231,20.6852
232,21.5185
233,23.0370
234,23.9815
235,25.3704
236,26.6481
237,27.8333
238,28.7593
239,28.9815
240,29.5185
241,30.0926
242,29.9815
243,29.5185
244,29.2593
245,30.1481
246,31.0926
247,31.7222
248,32.1296
249,32.4815
250,33.5000
251,33.5000
252,33.1481
253,33.6667
254,34.8148
255,35.3889
256,36.4259
257,37.0000
258,37.2778
259,38.2037
260,39.2407
261,39.7222
262,40.2037
263,40.5556
264,41.9259
265,43.7963
266,45.4815
267,46.7037
268,47.6481
269,49.5926
270,52.2778
271,53.7778
272,53.4444
273,49.7037
274,44.3889
275,41.6852
276,43.2963
277,47.4815
278,51.2593
279,53.9259
280,55.1667
281,55.8889
282,56.0556
283,55.5926
284,54.0926
285,51.6296
286,47.5926
287,43.3519
288,40.7222
289,39.5926
290,40.2963
291,40.6111
292,40.3148
293,38.6481
294,36.5000
295,36.4074
296,38.0926
297,39.0370
298,38.0370
299,36.4074
300,35.2222
301,35.0185
302,34.1852
303,32.1852
304,30.7593
305,32.9444
306,40.7407
307,50.7963
308,57.4815
309,57.3704
310,54.1667
311,53.0741
312,54.2407
313,54.9074
314,51.5000
315,45.3333
316,42.0370
317,42.9259
318,42.0741
319,35.2407
320,27.3519
321,29.8333
322,36.0556
323,44.4074
324,47.5556
325,48.7037
326,49.5185
327,49.2778
328,46.9444
329,44.2963
330,39.3148
331,33.3148
332,30.4630
333,31.7593
334,31.1852
335,29.6667
336,30.7593
337,32.1111
338,37.4444
339,47.2963
340,51.7037
341,51.0741
342,50.6481
343,50.6667
344,52.2593
345,49.1296
346,42.7778
347,36.8519
348,33.4815
349,32.1852
350,29.7407
351,28.1481
352,29.5000
353,33.1481
354,33.8333
355,32.8148
356,33.2778
357,33.8148
358,33.3519
359,35.0741
360,40.7963
361,47.9630
362,49.5741
363,48.0926
364,49.5926
365,46.9444
366,41.9815
367,42.8704
368,42.9630
369,41.1852
370,38.4259
371,34.2778
372,33.1296
373,32.8333
374,30.7593
375,31.5741
376,33.6852
377,37.6296
378,41.8704
379,45.1852
380,47.3519
381,47.9074
382,47.2222
383,40.5926
384,34.2593
385,32.7222
386,29.5000
387,25.9444
388,24.2593
389,25.2778
390,27.7037
391,32.6852
392,36.6667
393,37.4259
394,36.4444
395,39.7778
396,45.6111
397,49.9444
398,54.7037
399,56.3704
400,50.5556
401,41.5370
402,36.7963
403,31.9815
404,28.8148
405,29.2222
406,28.3333
407,32.7963
408,38.3704
409,43.0926
410,49.0000
411,53.5000
412,54.9630
413,46.7037
414,36.9074
415,33.3704
416,36.6111
417,42.3704
418,41.5000
419,38.5185
