Distance_(pixels),Gray_Value
0,40.3333
1,51.3750
2,60.1667
3,62.2083
4,53.0417
5,47.2917
6,46.3750
7,42.7083
8,37.5417
9,39.2083
10,45.2083
11,55.1667
12,59.8750
13,53.8333
14,46.7917
15,41.6667
16,41.6250
17,48.0000
18,49.7083
19,52.8750
20,58.3750
21,58.2917
22,53.0833
23,50.6667
24,46.9583
25,52.4583
26,58.0833
27,54.2083
28,49.1250
29,51.5000
30,54.9167
31,54.9583
32,50.5417
33,46.5833
34,45.2083
35,49.4583
36,53.6250
37,59.9167
38,60.7500
39,51.5417
40,45.9167
41,48.7500
42,52.4583
43,52.9167
44,56.9583
45,57.9167
46,57.4167
47,57.8750
48,57.3750
49,51.4167
50,48.4167
51,51.5417
52,50.4167
53,50.9583
54,51.0000
55,49.9167
56,49.5833
57,55.0417
58,53.3750
59,47.5417
60,42.8750
61,44.0000
62,47.2500
63,56.4167
64,65.6667
65,65.0417
66,55.0417
67,47.1250
68,46.7083
69,47.7917
70,48.4167
71,50.7917
72,50.9583
73,51.6667
74,55.7500
75,57.5833
76,60.6667
77,56.1667
78,50.6250
79,44.5000
80,38.9167
81,43.3750
82,51.7083
83,54.4583
84,49.5000
85,48.2917
86,55.4167
87,58.5833
88,54.0417
89,51.5417
90,52.1250
91,48.2500
92,35.5417
93,40.7917
94,49.9583
95,52.0833
96,60.6667
97,67.7500
98,65.1667
99,60.6667
100,53.6250
101,53.7083
102,56.7500
103,50.9583
104,43.2500
105,45.1250
106,45.3750
107,48.8750
108,54.3333
109,61.7917
110,71.9167
111,70.9583
112,65.5833
113,56.3750
114,51.9583
115,47.1667
116,43.9583
117,45.0833
118,51.8333
119,58.7083
120,59.4583
121,56.2500
122,59.5417
123,67.2083
124,67.6250
125,70.7083
126,74.0417
127,72.6250
128,63.5417
129,51.9583
130,45.4583
131,53.5000
132,65.9167
133,68.5000
134,61.2500
135,60.4167
136,62.2917
137,74.5000
138,77.6250
139,71.7083
140,61.0833
141,57.4167
142,59.0833
143,62.3333
144,56.7917
145,50.6250
146,49.5000
147,56.9167
148,61.0417
149,60.8750
150,60.8333
151,59.3750
152,60.2500
153,65.2083
154,61.9167
155,53.6667
156,44.2917
157,42.7083
158,46.0833
159,47.3750
160,50.0833
161,51.4583
162,49.8333
163,53.1250
164,59.8750
165,61.7500
166,58.7917
167,55.4583
168,48.8750
169,46.5000
170,50.0000
171,57.6250
172,65.6667
173,67.8333
174,56.6250
175,44.6250
176,33.6667
177,47.9583
178,60.1667
179,56.0000
180,42.7083
181,41.5417
182,45.2917
183,58.7500
184,69.1667
185,68.6250
186,65.0833
187,68.0833
188,69.9167
189,58.0000
190,38.3333
191,38.0417
192,40.2500
193,46.5417
194,46.9167
195,46.4167
196,44.2917
197,42.5833
198,46.6667
199,54.3333
200,58.0000
201,52.4167
202,46.1667
203,46.0417
204,45.2500
205,44.7917
206,50.2917
207,61.7083
208,68.0417
209,68.8750
210,68.4583
211,69.2500
212,68.2083
213,56.5833
214,45.9583
215,42.7500
