Distance_(pixels),Gray_Value
0,47.6111
1,52.8333
2,62.8194
3,64.0972
4,59.9306
5,57.6528
6,59.1944
7,61.4306
8,58.0833
9,55.2083
10,54.4167
11,48.0278
12,48.8750
13,53.7083
14,64.4167
15,65.6944
16,60.2222
17,49.9861
18,41.3611
19,40.5556
20,60.3333
21,68.1389
22,59.3194
23,56.4306
24,62.5417
25,55.6250
26,53.3750
27,51.0417
28,59.6944
29,54.2361
30,53.3333
31,49.3472
32,58.6528
33,61.6111
34,70.8611
35,79.1389
36,70.4722
37,49.1389
38,40.9722
39,34.1528
40,33.0694
41,28.9722
42,37.1806
43,46.0833
44,56.8056
45,55.9306
46,59.8056
47,70.0694
48,71.6528
49,59.4444
50,50.1806
51,44.1111
52,41.5556
53,40.3056
54,41.5417
55,47.8889
56,64.5972
57,72.4028
58,66.7083
59,61.0833
60,67.0278
61,76.9167
62,78.0972
63,70.0556
64,63.6389
65,60.0139
66,50.6806
67,37.0556
68,46.0139
69,55.4306
70,76.3194
71,79.3611
72,70.7222
73,68.0972
74,75.6806
75,76.3472
76,67.7778
77,52.7361
78,41.5972
79,31.3333
80,49.4444
81,64.0278
82,62.2639
83,51.3472
84,47.3194
85,48.1111
86,50.6806
87,56.7778
88,64.3194
89,70.2222
90,71.7917
91,70.7222
92,65.2778
93,53.3056
94,47.0556
95,46.4028
96,55.7361
97,63.3889
98,68.6806
99,67.6806
100,57.6389
101,51.6111
102,60.2222
103,70.6944
104,74.6806
105,75.0556
106,71.1250
107,65.4861
108,66.5278
109,73.8056
110,77.6528
111,74.5417
112,62.7778
113,44.4444
114,47.3750
115,50.9583
116,68.7778
117,71.2639
118,65.3333
119,59.6389
120,70.2500
121,82.2083
122,84.5694
123,76.1250
124,65.6806
125,63.0278
126,61.3611
127,57.6944
128,51.7361
129,51.6250
130,58.3333
131,66.8472
132,74.9028
133,75.2778
134,65.2639
135,54.2361
136,55.0417
137,60.5139
138,58.7083
139,51.0694
140,49.8333
141,53.9444
142,59.7361
143,67.0556
144,75.3611
145,80.2361
146,77.6389
147,71.9306
148,69.1111
149,70.0556
150,70.4444
151,67.9861
152,63.1944
153,58.0139
154,56.8194
155,59.9861
156,64.2500
157,64.3194
158,59.4444
159,50.6111
160,46.4861
161,49.8611
162,56.8194
163,61.5833
164,65.9583
165,73.5417
166,81.0972
167,83.4028
168,84.1528
169,84.4444
170,84.4861
171,82.5694
172,77.2361
173,71.9167
174,68.1250
175,66.8750
176,70.2500
177,77.0694
178,80.7778
179,81.3194
180,79.1250
181,73.8333
182,69.3194
183,69.0417
184,71.0139
185,70.5833
186,67.2639
187,64.3333
188,64.9028
189,64.7361
190,63.7917
191,63.1250
192,62.3472
193,61.6667
194,60.7222
195,59.1944
196,58.5278
197,58.8611
198,57.9167
199,55.2083
200,53.2917
201,53.5972
202,53.7361
203,52.5694
204,50.8611
205,49.8194
206,48.6667
207,47.2222
208,46.2083
209,45.0972
210,43.8056
211,41.0000
212,38.1528
213,36.2500
214,35.4444
215,34.5417
216,34.1528
217,34.0139
218,33.3333
219,31.8333
220,30.3889
221,30.3056
222,30.6389
223,29.8889
224,29.2500
225,28.9306
226,28.9028
227,28.7083
228,29.1944
229,29.7083
230,29.9306
231,29.6806
232,29.7222
233,29.9583
234,30.4167
235,29.4028
236,28.7639
237,28.2361
238,28.0417
239,28.4028
240,29.9028
241,30.5556
242,30.7778
243,31.0556
244,31.2361
245,32.0694
246,32.4028
247,32.3750
248,32.8750
249,34.9028
250,36.6111
251,37.5694
252,38.1389
253,39.7639
254,41.8750
255,43.3750
256,45.5278
257,47.9306
258,49.1250
259,49.1250
260,49.7917
261,49.9306
262,49.7778
263,50.1667
264,50.7639
265,52.0833
266,52.7361
267,53.4444
268,54.5417
269,57.2917
270,59.1111
271,59.1806
272,59.3750
273,61.6528
274,63.5278
275,63.1528
276,63.5972
277,66.5139
278,67.8611
279,67.4583
280,66.7083
281,68.1111
282,70.4722
283,71.9861
284,69.2222
285,67.0417
286,69.0000
287,72.4167
288,74.5694
289,73.5139
290,69.1667
291,66.0000
292,68.6528
293,72.5139
294,75.7361
295,78.9722
296,79.7917
297,76.0833
298,68.7778
299,62.3750
300,58.2917
301,52.7778
302,45.6250
303,41.6528
304,44.7361
305,48.2778
306,49.9028
307,51.7500
308,57.0972
309,62.6528
310,65.1250
311,63.3194
312,57.5278
313,50.0556
314,46.5139
315,49.3750
316,55.4167
317,62.8611
318,69.4861
319,72.2778
320,71.9306
321,69.6667
322,63.0833
323,52.5972
324,44.5833
325,43.3611
326,45.7083
327,50.3194
328,57.0972
329,64.5000
330,64.0278
331,56.2083
332,55.6667
333,61.2917
334,63.5833
335,58.4306
336,53.9306
337,53.8194
338,52.0556
339,49.0972
340,62.1806
341,73.9722
342,80.2222
343,77.2222
344,76.3333
345,77.6528
346,70.7778
347,57.9861
348,49.5694
349,48.2222
350,58.5972
351,61.9861
352,53.0139
353,40.3194
354,52.4306
355,64.9722
356,77.4583
357,77.1389
358,69.8611
359,64.2361
360,58.5833
361,50.3194
362,48.2639
363,52.1111
364,57.6944
365,56.8611
366,53.3472
367,54.1528
368,56.6111
369,52.6250
370,44.5556
371,38.3472
372,36.3194
373,37.6667
374,47.2639
375,58.5139
376,60.1667
377,54.7361
378,52.3472
379,53.9444
380,58.6806
381,59.7083
382,51.4444
383,40.0278
384,39.0417
385,42.9028
386,50.3194
387,51.5833
388,49.4444
389,51.6250
390,58.9028
391,61.4444
392,58.8472
393,53.2917
394,52.7222
395,58.0833
396,67.4167
397,63.7917
398,52.9861
399,44.2361
400,50.5694
401,56.5833
402,54.2500
403,47.1667
404,48.0833
405,55.4861
406,61.0972
407,56.6111
408,51.1111
409,52.2361
410,54.7917
411,48.4306
412,40.9306
413,36.9167
414,35.5833
415,36.2361
416,36.1250
417,41.1389
418,59.8194
419,68.8194
420,60.7222
421,44.8889
422,38.4167
423,38.9028
424,44.7639
425,43.7917
426,42.0000
427,43.2222
428,42.4028
429,43.9583
430,50.7778
431,58.7778
432,64.0139
433,60.4444
434,57.6528
435,60.8889
436,56.7917
437,39.5000
438,42.6250
439,45.5972
440,56.4583
441,58.7500
442,60.9583
443,60.5139
444,51.7917
445,45.0833
446,48.7083
447,48.3611
448,39.0139
449,30.6111
450,33.8056
451,39.6944
452,43.3333
453,45.8889
454,52.2639
455,55.0417
456,50.6806
457,45.2083
458,39.0417
