Distance_(pixels),Gray_Value
0,67.3667
1,65.9333
2,64.2667
3,62.7000
4,60.6667
5,58.2000
6,59.1667
7,54.9333
8,44.5333
9,46.9667
10,54.7667
11,66.4667
12,71.2333
13,70.9667
14,70.9333
15,70.6000
16,72.8333
17,71.0333
18,63.4333
19,59.7000
20,57.9667
21,54.5667
22,49.3667
23,48.9000
24,56.0333
25,59.8667
26,63.9000
27,69.8333
28,67.1000
29,63.3667
30,63.2000
31,64.5333
32,64.7333
33,59.5333
34,54.8000
35,56.4667
36,60.3667
37,57.9000
38,58.1667
39,55.2667
40,47.3667
41,46.7000
42,48.3333
43,48.0000
44,45.7667
45,52.0667
46,58.2333
47,64.3333
48,63.7333
49,58.2333
50,58.5333
51,60.1333
52,58.3667
53,53.7333
54,49.6000
55,48.8333
56,49.0000
57,49.5000
58,51.4667
59,49.6667
60,46.0333
61,46.9667
62,53.0333
63,58.4667
64,59.4000
65,54.2000
66,48.4333
67,49.7667
68,55.3333
69,59.4333
70,60.1667
71,61.9333
72,63.7000
73,61.0333
74,50.2667
75,40.1333
76,33.5667
77,35.9000
78,41.9333
79,48.0000
80,51.2000
81,49.2667
82,49.2000
83,54.7000
84,56.6667
85,53.4333
86,49.2667
87,49.6333
88,55.8000
89,57.3333
90,53.6333
91,50.5667
92,55.1000
93,66.3333
94,73.4000
95,73.3333
96,69.7333
97,65.2667
98,59.9667
99,54.2000
100,52.0667
101,53.5000
102,56.2667
103,60.6000
104,59.6000
105,53.4000
106,46.9000
107,44.1333
108,45.2333
109,47.6667
110,45.6000
111,43.3000
112,43.2333
113,47.0000
114,48.9000
115,46.6333
116,47.2667
117,51.6000
118,54.0333
119,54.7333
120,56.7000
121,63.1667
122,66.4667
123,68.9667
124,75.8333
125,81.9333
126,84.5667
127,84.5333
128,83.9000
129,77.6667
130,67.6667
131,60.2667
132,56.9667
133,60.4333
134,66.7000
135,69.8000
136,68.1333
137,64.7000
138,62.2000
139,63.9333
140,65.2000
141,64.3000
142,60.9000
143,58.3667
144,61.4667
145,63.9667
146,63.1000
147,61.6667
148,61.4000
149,62.1333
150,62.6000
151,60.8667
152,58.2000
153,59.4667
154,59.5667
155,55.5000
156,54.2000
157,56.8667
158,56.9333
159,54.1333
160,53.8667
161,51.2667
162,49.3000
163,50.8667
164,50.7000
165,48.5333
166,47.7000
167,45.2000
168,45.0667
169,44.5667
170,42.0333
171,39.6333
172,36.1333
173,35.1667
174,33.3333
175,30.8667
176,30.3000
177,29.7667
178,30.2333
179,30.5000
180,30.3667
181,29.1333
182,28.5333
183,27.3667
184,27.6333
185,28.7667
186,28.9333
187,28.2333
188,29.1333
189,29.8667
190,30.9000
191,30.3000
192,30.2667
193,31.0333
194,31.8333
195,31.6000
196,30.2667
197,29.6667
198,30.3667
199,31.2000
200,31.2667
201,31.2000
202,31.3333
203,30.8333
204,30.0667
205,29.8333
206,30.5333
207,31.3333
208,32.1333
209,31.2000
210,30.3333
211,30.9667
212,31.8667
213,31.6667
214,32.4333
215,33.8333
216,35.1667
217,36.6667
218,39.4000
219,41.1667
220,42.9333
221,43.7667
222,45.0333
223,46.9333
224,47.3667
225,47.0667
226,47.0333
227,47.2000
228,47.9667
229,48.5333
230,49.4333
231,50.0000
232,51.4000
233,51.4000
234,51.2000
235,52.6333
236,53.3667
237,54.6333
238,56.2667
239,58.0333
240,58.2667
241,59.4000
242,60.5333
243,61.5667
244,62.4667
245,62.6000
246,63.0667
247,65.7000
248,71.0000
249,75.7667
250,74.9667
251,68.4667
252,59.5000
253,55.9667
254,63.3333
255,73.8333
256,81.1000
257,83.2000
258,84.2667
259,84.1333
260,83.3667
261,82.1000
262,79.1667
263,75.6667
264,71.8667
265,68.8333
266,64.6333
267,61.2000
268,57.4000
269,55.3667
270,56.1667
271,56.1667
272,55.3000
273,55.0667
274,55.8667
275,57.3333
276,56.4667
277,53.3333
278,52.1333
279,52.9667
280,54.7333
281,53.0333
282,49.8333
283,47.3333
284,52.3000
285,67.8333
286,81.4667
287,84.0333
288,81.7667
289,78.7333
290,81.7667
291,83.4333
292,81.1667
293,72.4333
294,64.2000
295,63.7000
296,65.9000
297,64.2667
298,61.4667
299,60.5333
300,62.7333
301,59.6333
302,54.4667
303,55.6000
304,62.8667
305,65.7000
306,60.4000
307,52.0667
308,52.9667
309,63.2667
310,72.7000
311,79.5000
312,78.4667
313,73.2000
314,75.4333
315,77.5667
316,77.5000
317,77.0333
318,70.4667
319,63.9667
320,58.1667
321,57.5333
322,60.1333
323,58.2333
324,56.4667
325,50.5000
326,45.5333
327,44.0000
328,43.8667
329,50.3667
330,61.6000
331,74.8000
332,84.5000
333,84.6000
334,80.7667
335,75.1333
336,72.3333
337,65.5667
338,62.2333
339,60.8667
340,56.0333
341,49.9333
342,46.7667
343,41.7000
344,30.7000
345,32.3667
346,38.2333
347,46.6667
348,49.4333
349,51.6667
350,50.3667
351,66.5000
352,81.7667
353,84.5667
354,83.4333
355,70.8000
356,60.9000
357,58.8000
358,58.2333
359,61.5000
360,60.6000
361,53.5667
362,53.3333
363,59.9000
364,56.6000
365,47.9667
366,43.7000
367,57.5333
368,73.1333
369,80.3333
370,84.1333
371,83.8333
372,82.9000
373,83.2667
374,70.6000
375,60.3333
376,46.8333
377,46.6000
378,46.6667
379,45.2000
380,47.5667
381,56.3667
382,64.0333
383,73.4000
