Distance_(pixels),Gray_Value
0,64.6944
1,65.8056
2,64.9306
3,58.9306
4,55.3472
5,54.8750
6,46.7778
7,42.0417
8,51.4583
9,57.4444
10,57.0694
11,63.1111
12,71.9306
13,70.5417
14,65.4306
15,65.0972
16,59.8611
17,44.4583
18,38.9444
19,35.7083
20,45.3750
21,55.1389
22,59.3333
23,55.6389
24,54.5833
25,59.4444
26,67.4861
27,75.0833
28,73.5139
29,57.1111
30,45.5000
31,33.6250
32,34.8194
33,40.1250
34,47.8889
35,50.9861
36,53.5556
37,56.3194
38,63.0417
39,71.1667
40,73.5417
41,69.3333
42,67.5833
43,64.9583
44,57.5556
45,50.5278
46,50.8333
47,54.0417
48,53.9028
49,54.4722
50,54.2639
51,56.6667
52,66.8194
53,79.4306
54,84.2083
55,80.5833
56,72.1250
57,69.3194
58,66.2222
59,57.0417
60,50.5556
61,51.5000
62,60.2639
63,69.0417
64,73.0000
65,73.2222
66,75.2639
67,75.5694
68,68.9167
69,61.6528
70,61.2222
71,61.4306
72,64.3750
73,70.1806
74,68.3889
75,54.3889
76,43.7639
77,35.7639
78,41.9028
79,48.7222
80,50.4028
81,46.3611
82,41.2639
83,42.8611
84,55.5139
85,62.9028
86,61.6944
87,62.6111
88,64.7500
89,62.0972
90,63.4306
91,67.4306
92,69.7500
93,73.6250
94,74.9861
95,67.3750
96,56.4167
97,51.1250
98,50.8472
99,51.8333
100,53.0000
101,53.4861
102,53.0694
103,53.2083
104,57.1806
105,61.2778
106,61.8611
107,62.5139
108,66.3750
109,74.1250
110,80.4306
111,78.1944
112,70.7083
113,65.8194
114,65.1667
115,66.9861
116,65.6111
117,59.2083
118,55.2083
119,55.9167
120,58.9028
121,62.9167
122,65.7639
123,60.3472
124,51.9306
125,50.5000
126,56.0278
127,56.6389
128,52.0139
129,53.1667
130,62.4583
131,68.1944
132,65.9722
133,64.9444
134,71.5278
135,78.6250
136,80.0278
137,76.6944
138,74.0972
139,72.9167
140,69.6944
141,63.4028
142,57.4028
143,55.8472
144,57.2083
145,58.2222
146,58.8472
147,60.4028
148,61.2222
149,62.2083
150,64.9306
151,67.1806
152,65.6944
153,60.6250
154,57.3750
155,55.9028
156,53.4444
157,49.6944
158,49.2500
159,52.0556
160,55.8056
161,59.1944
162,64.6528
163,70.9583
164,76.1250
165,80.3194
166,82.8472
167,83.1944
168,82.5833
169,81.3333
170,77.3472
171,70.6528
172,64.4167
173,61.0833
174,62.4583
175,68.3333
176,74.3611
177,76.6250
178,74.0000
179,68.5556
180,64.2222
181,63.0556
182,63.9028
183,63.5000
184,61.0000
185,59.0278
186,59.5833
187,60.2639
188,60.2639
189,59.2778
190,59.3750
