Distance_(pixels),Gray_Value
0,46.1042
1,44.7917
2,45.3958
3,50.5625
4,53.2917
5,52.9792
6,48.7708
7,43.3750
8,44.0000
9,47.0208
10,46.6667
11,45.0208
12,42.5833
13,40.0208
14,42.7500
15,43.7708
16,43.3750
17,46.4583
18,49.1667
19,51.4167
20,51.5000
21,49.8750
22,44.7500
23,40.2708
24,40.9167
25,41.5625
26,45.2500
27,49.8750
28,50.8125
29,45.5208
30,40.6042
31,40.6042
32,39.6667
33,35.7500
34,33.5417
35,37.6250
36,45.0208
37,50.1042
38,50.0208
39,44.9583
40,36.2917
41,32.0417
42,31.2917
43,29.9167
44,31.6042
45,35.4167
46,34.8542
47,34.4375
48,35.1458
49,36.9792
50,40.5833
51,45.1667
52,46.6667
53,43.6458
54,38.7917
55,36.2500
56,34.9375
57,31.3333
58,31.0000
59,38.9375
60,46.8750
61,49.5833
62,45.8125
63,41.0000
64,40.2708
65,39.3542
66,35.2083
67,33.3750
68,32.9375
69,32.2083
70,34.5000
71,34.0208
72,35.1250
73,39.6458
74,44.2292
75,47.4792
76,47.0417
77,49.7500
78,50.6250
79,43.1250
80,33.5625
81,31.0000
82,33.6042
83,37.9583
84,43.0000
85,47.8750
86,51.0208
87,50.5000
88,47.8333
89,48.0208
90,46.0000
91,38.1667
92,29.9375
93,29.3125
94,32.8333
95,40.0000
96,40.6667
97,36.1250
98,31.6250
99,33.1875
100,36.3542
101,38.0208
102,39.2500
103,41.7917
104,45.0417
105,48.8125
106,49.7708
107,49.8333
108,50.5208
109,53.1042
110,54.0417
111,50.7917
112,47.3958
113,43.8542
114,40.0417
115,38.2708
116,41.9167
117,47.0208
118,47.3333
119,45.0000
120,43.8750
121,45.5000
122,47.9167
123,48.5208
124,46.6250
125,45.7083
126,47.4375
127,50.1250
128,52.5417
129,52.5208
130,51.3542
131,51.6667
132,50.3542
133,45.5625
134,41.2292
135,41.4375
136,43.5833
137,45.3125
138,45.5000
139,43.1875
140,41.6458
141,41.3750
142,43.9167
143,44.7292
144,41.7083
145,37.9792
146,37.7708
147,39.4583
148,40.0000
149,37.9167
150,36.9792
151,37.2083
152,37.4792
153,35.6458
154,33.3125
155,33.3958
156,31.6458
157,29.3958
158,28.3542
159,27.4792
160,26.1458
161,25.5208
162,26.2917
163,24.8333
164,23.5208
165,23.1458
166,22.8333
167,22.5833
168,22.5625
169,22.4375
170,23.2917
171,23.8125
172,24.9583
173,24.2292
174,23.8958
175,24.0625
176,24.5625
177,25.2083
178,25.0000
179,25.3958
180,24.9583
181,24.5833
182,23.6667
183,24.1458
184,24.8750
185,24.9583
186,24.4792
187,23.4792
188,22.8542
189,23.6042
190,24.9792
191,25.6458
192,25.7083
193,25.1250
194,25.3333
195,25.9583
196,26.0417
197,25.8333
198,26.6875
199,28.6667
200,29.7500
201,30.3125
202,30.9375
203,32.4375
204,33.7292
205,34.4167
206,34.2917
207,34.5000
208,35.5833
209,36.9167
210,36.4375
211,35.4792
212,36.3750
213,39.5208
214,43.5000
215,45.5833
216,43.0417
217,37.2500
218,33.7083
219,36.6250
220,42.0000
221,46.6875
222,50.1042
223,52.3125
224,53.0000
225,53.5208
226,51.8958
227,48.7083
228,46.7917
229,46.7708
230,46.1250
231,44.6042
232,43.1458
233,44.0833
234,47.3750
235,50.4375
236,49.0208
237,44.1250
238,40.1250
239,41.8125
240,48.2500
241,53.5625
242,55.6875
243,55.5417
244,54.3542
245,54.0833
246,54.1042
247,53.4375
248,52.4167
249,50.8125
250,49.5208
251,48.8125
252,44.9375
253,38.3542
254,32.4583
255,33.4792
256,39.9792
257,44.4167
258,40.5625
259,35.5208
260,33.9792
261,45.1458
262,55.4375
263,57.6250
264,54.1875
265,50.3750
266,49.5417
267,48.1875
268,45.1875
269,40.2083
270,35.4375
271,37.6042
272,43.7708
273,47.4792
274,50.1250
275,52.5000
276,56.6250
277,61.0000
278,57.1042
279,48.9375
280,47.1250
281,47.8125
282,46.7708
283,44.4792
284,38.9583
285,35.1875
286,33.0625
287,30.5417
288,33.8333
289,44.7708
290,59.0417
291,67.1875
292,68.9375
293,66.0833
294,55.0000
295,41.4792
296,31.6667
297,34.0000
298,39.6667
299,48.2083
300,52.7917
301,49.8750
302,49.6250
303,51.3125
304,50.4792
305,47.3125
306,40.2083
307,34.6042
308,32.6875
309,36.6875
310,43.8333
311,48.3542
312,51.2500
313,53.1250
314,54.3333
315,52.3125
316,43.8125
317,37.5625
318,37.8125
319,45.9583
320,47.3750
321,46.1667
322,45.3958
323,39.6667
324,37.6875
325,42.5208
326,41.2083
327,35.7292
328,33.7917
329,40.7708
330,49.3542
331,51.6250
332,53.4167
333,51.4167
334,49.4167
335,47.9792
336,38.3333
337,34.0417
338,33.0208
339,37.9167
340,42.5000
341,47.3750
342,51.5208
343,48.9375
344,35.6667
345,31.6250
346,32.4375
347,46.2917
348,56.1458
349,57.7708
350,54.4375
351,54.2917
352,56.2083
353,47.0625
354,36.1042
355,32.8958
356,33.6458
357,50.5833
