Distance_(pixels),Gray_Value
0,35.2444
1,35.9111
2,32.0444
3,32.3778
4,41.4889
5,47.8000
6,45.2444
7,39.5778
8,34.5778
9,35.0444
10,39.5556
11,42.5333
12,38.6667
13,33.5778
14,40.6444
15,51.7556
16,49.9778
17,35.3111
18,32.5778
19,34.8444
20,41.2667
21,40.5333
22,39.0889
23,40.2889
24,42.8667
25,44.9333
26,45.5556
27,38.2000
28,32.0444
29,31.5111
30,34.5333
31,38.9556
32,41.2667
33,39.6889
34,41.3111
35,45.5778
36,44.2000
37,34.9556
38,36.0889
39,39.4444
40,44.9778
41,39.6889
42,38.0000
43,40.0444
44,39.1556
45,44.2889
46,49.4444
47,42.5778
48,36.0000
49,32.0889
50,37.8889
51,45.0222
52,48.3556
53,43.3111
54,35.3778
55,32.6667
56,37.5556
57,42.7111
58,41.4667
59,35.2667
60,36.8667
61,42.0667
62,42.1111
63,41.7111
64,43.7333
65,39.6222
66,33.4000
67,30.2444
68,33.1556
69,39.3778
70,39.8889
71,37.0889
72,40.9333
73,46.0889
74,46.8000
75,46.9778
76,43.2889
77,34.0222
78,34.0444
79,37.6444
80,45.8667
81,41.4000
82,34.9778
83,35.2889
84,43.2222
85,44.7778
86,43.6889
87,45.7778
88,45.5111
89,35.2667
90,30.2444
91,26.6000
92,34.9111
93,39.9556
94,44.6000
95,47.7778
96,42.3778
97,31.7556
98,32.8667
99,38.4889
100,42.0667
101,37.1778
102,30.2000
103,26.1333
104,25.8222
105,30.1778
106,36.9778
107,41.0889
108,42.9556
109,42.0667
110,38.7556
111,40.4000
112,42.5111
113,38.5778
114,33.1556
115,32.0000
116,33.8000
117,30.2000
118,30.8889
119,34.9111
120,43.5333
121,49.8000
122,49.8667
123,43.1778
124,39.0222
125,42.4222
126,45.5333
127,42.8889
128,42.5778
129,47.9556
130,47.0444
131,41.8889
132,35.1111
133,30.0000
134,36.8889
135,46.1111
136,56.6444
137,57.6889
138,53.4444
139,48.7111
140,47.2444
141,44.6222
142,37.0444
143,29.0444
144,35.1111
145,43.6667
146,51.9556
147,48.9778
148,40.0667
149,35.7778
150,36.1333
151,35.5556
152,37.0889
153,45.6889
154,51.8222
155,50.2222
156,47.4000
157,45.0444
158,40.1111
159,35.4222
160,33.8222
161,35.1111
162,40.8444
163,46.5111
164,44.1778
165,34.9333
166,34.7333
167,40.8000
168,44.8222
169,44.8889
170,45.1556
171,44.9111
172,44.6889
173,49.4889
174,53.6444
175,51.5111
176,47.6889
177,43.2222
178,37.0222
179,35.0222
180,37.5556
181,40.4667
182,43.1333
183,48.8889
184,53.0444
185,50.7556
186,47.5333
187,47.1111
188,44.8222
189,40.5778
190,34.5556
191,31.9111
192,34.8000
193,39.7778
194,50.0667
195,64.4000
196,71.2000
197,66.0222
198,54.4667
199,40.8667
200,32.6889
201,27.3556
202,32.2000
203,36.5556
204,40.2667
205,46.2889
206,50.0222
207,47.4222
208,45.6889
209,49.3778
210,53.5556
211,54.7778
212,53.0444
213,50.2222
214,46.8444
215,40.5778
216,36.0444
217,38.7556
218,46.2222
219,50.7556
220,53.0444
221,55.1333
222,55.3333
223,53.0222
224,52.6889
225,55.4667
226,55.5778
227,48.9778
228,41.3556
229,37.9778
230,44.5333
231,50.3778
232,48.3556
233,39.5778
234,33.8444
235,33.1556
236,39.4222
237,43.9333
238,45.8222
239,48.3556
240,52.4222
241,55.1556
242,55.5778
243,55.6667
244,57.4000
245,57.8889
246,55.7556
247,52.0889
248,48.2444
249,44.2889
250,43.1778
251,47.2222
252,51.8889
253,53.5333
254,50.4000
255,44.9556
256,42.0222
257,44.3333
258,49.1556
259,51.4222
260,51.4444
261,52.1778
262,54.7556
263,55.6000
264,54.1333
265,51.4444
266,49.3778
267,45.8222
268,41.4222
269,38.9556
270,40.2444
271,44.4222
272,47.7111
273,49.1111
274,47.0444
275,42.0000
276,37.7556
277,38.0667
278,40.7111
279,40.8889
280,38.4667
281,36.6889
282,37.0889
283,36.8444
284,34.7778
285,32.7778
286,33.0667
287,33.1778
288,31.2667
289,29.1333
290,27.8667
291,27.2000
292,26.8444
293,26.1111
294,25.4889
295,25.2000
296,25.0889
297,24.5778
298,23.7778
299,23.3333
300,23.7111
301,23.6444
302,23.1778
303,22.7111
304,22.9111
305,23.2000
306,23.2000
307,23.4667
308,24.1556
309,24.3778
310,24.0222
311,24.1778
312,25.1778
313,24.6889
314,24.4667
315,24.4222
316,23.7333
317,23.2000
318,23.7778
319,24.3778
320,24.1778
321,24.3111
