Distance_(pixels),Gray_Value
0,61.9091
1,61.5455
2,55.6061
3,53.6667
4,52.8182
5,53.5758
6,55.8788
7,51.1515
8,42.3030
9,39.0606
10,39.8485
11,41.5758
12,40.1515
13,45.0909
14,51.1212
15,54.7879
16,58.8182
17,61.4545
18,63.8485
19,59.4848
20,54.8788
21,53.4242
22,50.9394
23,50.4545
24,50.5152
25,53.7879
26,57.3030
27,57.6970
28,56.5152
29,56.7576
30,58.1515
31,59.4242
32,57.4242
33,50.5455
34,45.5758
35,47.7879
36,48.4242
37,45.6667
38,44.1818
39,43.6970
40,44.6364
41,48.4848
42,56.7879
43,64.8788
44,69.0909
45,67.9394
46,63.9697
47,58.6667
48,56.3333
49,58.0909
50,60.5152
51,66.2424
52,69.2121
53,64.0909
54,55.5758
55,50.4848
56,49.5758
57,53.0303
58,58.6667
59,60.4848
60,58.2424
61,56.3333
62,56.3030
63,56.8182
64,57.7879
65,55.3333
66,54.8182
67,56.1212
68,52.5758
69,47.3333
70,47.4242
71,53.6061
72,61.5758
73,69.5455
74,73.8788
75,74.1515
76,74.0303
77,75.0909
78,71.5758
79,64.6364
80,57.8182
81,55.1818
82,58.7879
83,63.2121
84,64.6667
85,62.5758
86,58.9697
87,57.7879
88,57.0606
89,53.9697
90,49.4848
91,47.5758
92,48.9697
93,53.6364
94,56.1818
95,54.0606
96,51.3939
97,51.8788
98,55.5455
99,54.5152
100,50.8485
101,50.5455
102,51.0606
103,47.6970
104,46.0606
105,47.0606
106,49.9394
107,55.6970
108,62.1818
109,65.6667
110,66.3636
111,66.0606
112,65.0303
113,62.3030
114,56.7576
115,52.1515
116,52.8788
117,57.7879
118,61.6667
119,61.9091
120,57.2121
121,50.7879
122,49.1212
123,54.2727
124,60.9091
125,62.9091
126,61.6970
127,59.2121
128,59.2424
129,58.6364
130,54.8182
131,50.7879
132,51.4848
133,55.5152
134,57.3333
135,58.3636
136,60.1515
137,62.7879
138,62.7879
139,61.6061
140,62.8485
141,62.0909
142,60.6970
143,58.8485
144,57.0606
145,56.4242
146,58.3333
147,60.9697
148,65.3636
149,71.0606
150,76.8485
151,81.3030
152,83.1818
153,82.5758
154,77.9697
155,72.4242
156,69.0000
157,68.6061
158,71.4848
159,72.1212
160,71.0000
161,68.0606
162,66.5455
163,66.4848
164,69.2424
165,71.0909
166,71.8485
167,69.8182
168,66.9091
169,64.1818
170,62.9091
171,64.0000
172,65.1515
173,65.4242
174,62.8788
175,57.3030
176,51.7273
177,52.0909
178,56.6970
179,57.0909
180,54.1212
181,52.9697
182,50.6364
183,46.5455
184,44.0909
185,40.1212
186,37.5455
187,37.8485
188,40.1515
189,42.6061
190,44.5152
191,45.3636
192,49.1818
193,50.4848
194,51.3030
195,52.6364
196,49.6364
197,50.9091
198,52.9394
199,57.0909
200,60.8485
201,63.8485
202,66.9697
203,71.7273
204,75.6364
205,76.3636
206,74.5455
207,71.1212
208,65.9091
209,59.6364
210,56.8788
211,58.5758
212,62.7273
213,66.8788
214,67.7576
215,66.4242
216,66.1212
217,66.2424
218,67.8485
219,68.0000
220,66.3030
221,62.8788
222,61.0606
223,61.1212
224,62.0606
225,60.3939
226,58.9394
227,59.5758
228,61.6667
229,60.5758
230,57.3939
231,59.0000
232,61.8485
233,60.4545
234,58.8182
235,62.1212
236,62.2424
237,59.8788
238,60.0303
239,57.9697
240,55.0000
241,54.8788
242,54.5152
243,54.0606
244,52.2121
245,51.4242
246,50.0000
247,48.0000
248,47.2424
249,48.7879
250,48.6667
251,47.9697
252,48.4848
253,49.0606
254,46.6970
255,46.9394
256,48.3333
257,50.5152
258,51.4848
259,51.0909
260,50.8788
261,50.1818
262,50.5455
263,50.6061
264,50.1212
265,50.1515
266,49.5152
267,50.3030
268,51.1515
269,52.3333
270,52.1818
271,50.7273
272,48.9394
273,47.7879
274,47.6970
275,48.4545
276,48.3636
277,47.6061
278,45.2727
279,44.9697
280,45.0909
281,44.7879
282,44.6364
283,44.2121
284,42.6970
285,42.5152
286,42.8788
287,41.2727
288,40.1818
289,41.1212
290,41.3333
291,39.8485
292,37.0303
293,34.6061
294,33.9394
295,34.3636
296,34.6061
297,34.3030
298,33.6364
299,33.3030
300,33.0909
301,32.7576
302,32.1515
303,30.5152
304,29.0000
305,28.3030
306,28.2727
307,28.3030
308,28.4545
309,28.1818
310,29.2424
311,29.8485
312,28.7576
313,28.1212
314,27.3939
315,27.0000
316,26.8485
317,27.9697
318,29.0909
319,28.6667
320,29.0606
321,29.6061
322,30.1515
323,30.6364
324,31.0909
325,31.4545
326,32.1515
327,31.9697
328,31.4848
329,31.1818
330,31.2121
331,32.0909
332,32.1515
333,31.6061
334,31.7576
335,31.4545
336,31.2727
337,31.0000
338,31.3030
339,30.9091
340,31.0909
341,30.3030
342,29.1212
343,28.7273
344,28.7273
345,28.6667
346,28.3939
347,27.9697
348,27.8485
349,28.1212
350,28.8485
351,28.8788
352,28.3030
353,27.6970
354,28.4545
355,29.4848
356,30.2121
357,30.3333
358,30.0606
359,30.8788
360,32.1515
361,32.5152
362,32.8182
363,34.3636
364,35.6364
365,35.7879
366,35.0909
367,35.6667
368,36.5758
369,37.7576
370,38.7576
371,40.1818
372,40.8485
373,41.7576
374,43.1212
375,43.6970
376,43.1818
377,43.6667
378,44.1818
379,45.3939
380,46.6970
381,47.5758
382,48.2424
383,50.4848
384,51.7576
385,51.2424
386,50.6364
387,50.7879
388,50.9394
389,49.5152
390,48.2727
391,47.7576
392,48.0303
393,49.0303
394,49.8182
395,51.2121
396,51.9091
397,52.4242
398,52.8182
399,54.6667
400,54.0303
401,51.8485
402,50.1212
403,50.5455
404,52.5152
405,54.8485
406,55.4242
407,55.0000
408,55.9394
409,56.6061
410,57.4848
411,58.7879
412,60.6061
413,61.9697
414,62.8788
415,63.6364
416,63.5758
417,64.5455
418,65.6970
419,65.8788
420,65.4848
421,66.0909
422,68.6667
423,71.7576
424,73.6667
425,73.0606
426,71.0606
427,71.5758
428,73.8182
429,76.1515
430,76.7879
431,75.4545
432,75.0303
433,76.6970
434,78.4848
435,78.4848
436,75.2121
437,70.9394
438,71.3939
439,75.7273
440,82.2727
441,84.6667
442,84.6667
443,84.6667
444,84.6667
445,84.6667
446,84.2424
447,80.6364
448,75.6667
449,72.5455
450,68.4848
451,65.3333
452,62.2727
453,59.6061
454,58.8182
455,57.3333
456,56.4545
457,54.6061
458,53.5758
459,54.1818
460,55.7576
461,55.8485
462,54.9697
463,53.0303
464,51.1212
465,46.7879
466,42.7576
467,41.6970
468,42.2121
469,46.6364
470,53.3030
471,58.3636
472,58.8182
473,56.0606
474,51.0909
475,49.4848
476,52.4242
477,59.0606
478,60.6364
479,54.5152
480,49.0000
481,52.6061
482,58.3333
483,58.6667
484,57.1212
485,60.4242
486,66.3939
